,lambda_multiplier,entries,exits,lambda
0,0.7,2594.0,2591.0,0.9099999999999999
1,0.8999999999999999,3348.8,3345.8,1.17
2,1.1,4153.2,4141.8,1.4300000000000002
3,1.2999999999999998,4899.0,4549.8,1.6899999999999997
4,1.4999999999999998,5571.6,4732.8,1.9499999999999997
5,1.6999999999999995,6322.8,4888.2,2.2099999999999995
6,1.9,7083.8,4986.6,2.4699999999999998
7,2.1,7852.4,4991.6,2.7300000000000004
8,2.3,8589.0,5012.6,2.9899999999999998
9,2.5,9296.6,5057.8,3.25
10,2.6999999999999997,10035.6,5103.4,3.51
11,2.8999999999999995,10824.4,5132.0,3.7699999999999996
12,3.1,11657.8,5096.6,4.03
13,3.2999999999999994,12402.4,5112.8,4.289999999999999
14,3.499999999999999,13189.6,5166.2,4.549999999999999
15,3.6999999999999993,13805.0,5222.2,4.81
16,3.9,14640.2,5173.2,5.07
17,4.1,15333.8,5190.6,5.33
18,4.299999999999999,16010.0,5239.8,5.589999999999999
19,4.499999999999999,16813.0,5218.0,5.849999999999999
20,4.699999999999999,17689.6,5136.2,6.109999999999999
21,4.899999999999999,18263.2,5221.2,6.369999999999998
