,Turn_100,Turn_101,mean,std
1005,57.58000000000004,,57.58000000000004,0.0
1013,21.78999999999996,,21.78999999999996,0.0
1027,25.46000000000004,,25.46000000000004,0.0
1029,37.71999999999991,,37.71999999999991,0.0
1048,64.07000000000005,,64.07000000000005,0.0
1070,45.01999999999998,65.26999999999998,55.14499999999998,10.125
1106,21.36000000000001,,21.36000000000001,0.0
1107,23.35000000000002,,23.35000000000002,0.0
1110,42.40999999999997,,42.40999999999997,0.0
1120,46.56000000000006,,46.56000000000006,0.0
1138,27.74000000000001,,27.74000000000001,0.0
1152,34.77999999999997,,34.77999999999997,0.0
1185,36.99000000000001,,36.99000000000001,0.0
1187,58.27999999999997,,58.27999999999997,0.0
1199,52.59999999999991,,52.59999999999991,0.0
1212,42.71999999999991,,42.71999999999991,0.0
1217,40.5,47.4799999999999,43.98999999999995,3.4899999999999487
1235,71.44999999999993,,71.44999999999993,0.0
1275,41.83000000000004,,41.83000000000004,0.0
1279,67.93999999999994,,67.93999999999994,0.0
1288,64.17999999999995,,64.17999999999995,0.0
1289,56.41999999999996,,56.41999999999996,0.0
1290,53.5200000000001,,53.5200000000001,0.0
1298,30.13999999999999,,30.13999999999999,0.0
1363,68.36000000000001,32.22000000000003,50.29000000000002,18.069999999999993
1378,25.51999999999998,,25.51999999999998,0.0
1379,37.17999999999984,,37.17999999999984,0.0
1400,17.87999999999988,20.86000000000013,19.370000000000005,1.4900000000001246
1413,28.50999999999999,,28.50999999999999,0.0
1415,31.90999999999985,,31.90999999999985,0.0
1419,25.58999999999992,,25.58999999999992,0.0
1422,43.37999999999988,,43.37999999999988,0.0
1427,15.03999999999996,,15.03999999999996,0.0
1448,45.15000000000009,31.34000000000015,38.24500000000012,6.904999999999971
1452,74.45000000000005,,74.45000000000005,0.0
1463,64.52999999999997,,64.52999999999997,0.0
1465,65.93000000000006,,65.93000000000006,0.0
1482,62.51999999999998,,62.51999999999998,0.0
1489,47.75,,47.75,0.0
1498,67.57999999999993,,67.57999999999993,0.0
1519,47.35000000000014,,47.35000000000014,0.0
1527,45.73000000000002,,45.73000000000002,0.0
1542,57.98000000000002,,57.98000000000002,0.0
1549,51.57999999999993,,51.57999999999993,0.0
1551,27.43000000000006,,27.43000000000006,0.0
1564,46.08999999999992,,46.08999999999992,0.0
1585,25.81000000000017,,25.81000000000017,0.0
1600,33.22000000000003,,33.22000000000003,0.0
1604,55.75999999999999,28.75,42.254999999999995,13.504999999999995
1626,37.0,,37.0,0.0
1641,25.11000000000013,,25.11000000000013,0.0
1644,24.72000000000003,,24.72000000000003,0.0
1686,61.84000000000015,,61.84000000000015,0.0
1692,34.75,,34.75,0.0
1727,27.0300000000002,,27.0300000000002,0.0
1745,38.75999999999999,,38.75999999999999,0.0
1754,50.95000000000005,27.42000000000007,39.18500000000006,11.764999999999992
1757,35.09999999999991,,35.09999999999991,0.0
1758,29.79999999999995,,29.79999999999995,0.0
1760,56.63999999999987,,56.63999999999987,0.0
1762,46.35000000000014,,46.35000000000014,0.0
1789,65.57000000000016,,65.57000000000016,0.0
1803,52.59999999999991,,52.59999999999991,0.0
1805,25.00999999999999,,25.00999999999999,0.0
1819,44.57999999999993,,44.57999999999993,0.0
1821,36.23000000000002,,36.23000000000002,0.0
1842,27.57000000000016,,27.57000000000016,0.0
1848,39.68999999999983,,39.68999999999983,0.0
1851,37.17000000000007,,37.17000000000007,0.0
1852,28.76999999999998,,28.76999999999998,0.0
1877,25.78999999999996,,25.78999999999996,0.0
1919,66.75999999999999,,66.75999999999999,0.0
1933,25.79000000000019,,25.79000000000019,0.0
1946,26.43000000000006,,26.43000000000006,0.0
1958,49.63999999999987,,49.63999999999987,0.0
1967,53.76999999999998,,53.76999999999998,0.0
2012,57.03999999999996,,57.03999999999996,0.0
2019,32.25,,32.25,0.0
2025,16.1400000000001,,16.1400000000001,0.0
2026,45.58000000000015,,45.58000000000015,0.0
2048,32.69000000000005,,32.69000000000005,0.0
2051,27.21000000000004,,27.21000000000004,0.0
2063,47.91999999999985,,47.91999999999985,0.0
2067,47.68999999999983,,47.68999999999983,0.0
2075,58.01999999999998,,58.01999999999998,0.0
2081,57.73000000000002,,57.73000000000002,0.0
2093,54.34999999999991,,54.34999999999991,0.0
2102,26.1099999999999,,26.1099999999999,0.0
2112,32.06999999999994,40.34000000000015,36.20500000000005,4.135000000000105
2122,56.31000000000017,,56.31000000000017,0.0
2132,26.82000000000016,,26.82000000000016,0.0
2137,16.75,,16.75,0.0
2157,51.18000000000006,,51.18000000000006,0.0
2177,28.11999999999989,,28.11999999999989,0.0
2189,66.01000000000022,,66.01000000000022,0.0
2192,54.32000000000016,35.79999999999995,45.06000000000005,9.260000000000105
2197,54.04999999999995,52.49000000000001,53.26999999999998,0.7799999999999692
2200,26.72000000000003,29.44000000000005,28.08000000000004,1.36000000000001
2258,35.25,,35.25,0.0
2264,29.83999999999992,,29.83999999999992,0.0
2270,51.18000000000006,,51.18000000000006,0.0
2271,45.62000000000012,,45.62000000000012,0.0
2291,32.36000000000013,,32.36000000000013,0.0
2299,25.6099999999999,,25.6099999999999,0.0
2324,42.66000000000008,,42.66000000000008,0.0
2338,54.77999999999997,,54.77999999999997,0.0
2361,51.32999999999993,,51.32999999999993,0.0
2380,59.76999999999998,,59.76999999999998,0.0
2382,36.5,60.3900000000001,48.44500000000005,11.94500000000005
2389,14.33999999999992,,14.33999999999992,0.0
2433,41.37000000000012,,41.37000000000012,0.0
2437,18.41000000000008,,18.41000000000008,0.0
2450,50.24000000000001,,50.24000000000001,0.0
2453,55.79999999999995,43.22000000000003,49.50999999999999,6.28999999999996
2472,42.85000000000014,,42.85000000000014,0.0
2476,32.21000000000004,,32.21000000000004,0.0
2477,57.0,,57.0,0.0
2478,29.53999999999996,,29.53999999999996,0.0
2492,22.23000000000002,,22.23000000000002,0.0
2513,29.32999999999993,,29.32999999999993,0.0
2529,34.87999999999988,38.09999999999991,36.489999999999895,1.6100000000000136
2560,33.45000000000005,,33.45000000000005,0.0
2585,58.0300000000002,,58.0300000000002,0.0
2616,37.05000000000018,,37.05000000000018,0.0
2625,36.32999999999993,46.33000000000015,41.33000000000004,5.00000000000011
2633,28.32000000000016,,28.32000000000016,0.0
2646,29.73000000000002,,29.73000000000002,0.0
2666,44.00999999999976,,44.00999999999976,0.0
2675,32.12999999999988,,32.12999999999988,0.0
2681,29.68000000000029,,29.68000000000029,0.0
2696,34.55999999999995,,34.55999999999995,0.0
2714,49.59999999999991,,49.59999999999991,0.0
2716,44.17999999999984,,44.17999999999984,0.0
2726,41.34000000000015,50.80000000000018,46.070000000000164,4.730000000000015
2751,37.93000000000029,,37.93000000000029,0.0
2753,36.92000000000007,,36.92000000000007,0.0
2757,37.86000000000013,,37.86000000000013,0.0
2767,31.68000000000029,55.0300000000002,43.355000000000246,11.674999999999955
2779,43.48999999999978,,43.48999999999978,0.0
2780,43.38000000000011,,43.38000000000011,0.0
2803,29.66999999999962,,29.66999999999962,0.0
2808,33.61999999999989,,33.61999999999989,0.0
2815,51.73000000000002,,51.73000000000002,0.0
2835,32.38999999999987,,32.38999999999987,0.0
2840,35.65999999999985,,35.65999999999985,0.0
2845,49.08000000000038,,49.08000000000038,0.0
2859,64.0600000000004,,64.0600000000004,0.0
2880,25.11999999999989,,25.11999999999989,0.0
2890,29.38000000000011,,29.38000000000011,0.0
2891,25.01999999999998,,25.01999999999998,0.0
2900,32.99000000000024,,32.99000000000024,0.0
2901,36.21000000000004,,36.21000000000004,0.0
2908,32.71000000000004,,32.71000000000004,0.0
2910,55.86000000000013,31.25,43.555000000000064,12.305000000000064
2928,35.11000000000013,,35.11000000000013,0.0
2933,33.83000000000038,,33.83000000000038,0.0
2947,43.77999999999975,,43.77999999999975,0.0
2959,38.75,,38.75,0.0
2968,23.22999999999956,,23.22999999999956,0.0
2997,26.13999999999987,,26.13999999999987,0.0
3014,34.94999999999982,,34.94999999999982,0.0
3029,24.46000000000004,,24.46000000000004,0.0
3034,17.86000000000013,,17.86000000000013,0.0
3049,31.69000000000005,,31.69000000000005,0.0
3055,52.45000000000027,,52.45000000000027,0.0
3060,27.53999999999996,,27.53999999999996,0.0
3085,43.07999999999993,,43.07999999999993,0.0
3089,57.94999999999982,,57.94999999999982,0.0
3106,58.40000000000009,,58.40000000000009,0.0
3108,36.46000000000004,,36.46000000000004,0.0
3130,46.17000000000007,,46.17000000000007,0.0
3131,39.0,,39.0,0.0
3158,26.48000000000002,,26.48000000000002,0.0
3181,23.8100000000004,,23.8100000000004,0.0
3192,50.28999999999996,,50.28999999999996,0.0
3196,61.73000000000002,,61.73000000000002,0.0
3200,27.32999999999993,,27.32999999999993,0.0
3201,35.13000000000011,,35.13000000000011,0.0
3202,35.43000000000029,,35.43000000000029,0.0
3225,22.44000000000005,,22.44000000000005,0.0
3247,70.48000000000002,,70.48000000000002,0.0
3251,44.2800000000002,32.75,38.5150000000001,5.7650000000001
3256,36.51999999999998,32.05999999999995,34.289999999999964,2.2300000000000146
3269,56.49000000000024,39.26999999999998,47.88000000000011,8.610000000000127
3341,56.50999999999976,,56.50999999999976,0.0
3387,19.84999999999991,,19.84999999999991,0.0
3463,54.21000000000004,,54.21000000000004,0.0
3465,49.05999999999995,,49.05999999999995,0.0
3472,49.89000000000033,,49.89000000000033,0.0
3483,42.70000000000027,,42.70000000000027,0.0
3485,35.80999999999995,,35.80999999999995,0.0
3496,51.17999999999984,,51.17999999999984,0.0
3517,28.28999999999996,,28.28999999999996,0.0
3533,24.72000000000025,,24.72000000000025,0.0
3558,53.61000000000013,,53.61000000000013,0.0
3576,45.2800000000002,,45.2800000000002,0.0
3577,43.04999999999973,,43.04999999999973,0.0
3602,23.85999999999967,,23.85999999999967,0.0
3611,38.5,,38.5,0.0
3612,60.75,,60.75,0.0
3623,59.78999999999996,,59.78999999999996,0.0
3631,24.7800000000002,,24.7800000000002,0.0
3639,27.14000000000033,,27.14000000000033,0.0
3643,41.70999999999958,,41.70999999999958,0.0
3656,33.5,,33.5,0.0
3668,28.42999999999984,,28.42999999999984,0.0
3688,32.32000000000016,,32.32000000000016,0.0
3708,27.7199999999998,,27.7199999999998,0.0
3711,16.9699999999998,,16.9699999999998,0.0
3733,,,,
3736,,,,
3744,,,,
3746,,,,
